100,115
310,200
313,200
318,110
319,124
320,150
321,192
32A,150
32B,150
32C,150
32S,192
330,300
332,275
333,310
340,300
342,300
343,310
345,330
346,400
380,555
388,555
717,110
733,140
734,160
735,110
736,120
737,120
738,175
739,185
73C,130
73G,130
73H,130
73J,130
73N,130
73R,130
73W,130
744,420
747,420
74E,420
74H,420
74M,420
74N,420
74Y,420
752,210
753,210
757,210
75W,210
762,210
763,210
764,210
767,210
76F,210
76W,210
772,400
773,400
777,400
77L,400
77W,400
77X,400
787,250
788,250
A81,72
AB6,250
AR1,100
AR8,100
ARJ,83
AT4,46
AT5,46
AT7,66
ATR,46
BE1,19
BEH,19
CNJ,8
CR2,50
CR7,70
CR9,86
CRA,70
CRJ,70
CRK,70
D1C,300
D38,38
DH1,38
DH2,38
DH3,54
DH4,74
DH8,74
E70,68
E75,75
E90,90
E95,95
EM2,30
EMB,20
EMJ,68
ER3,37
ER4,50
ERD,40
ERJ,43
F70,75
J32,18
J41,29
M11,250
M1F,250
M80,157
M82,157
M83,157
M88,157
M90,165
PL2,9
S20,50
SF3,32
SU9,94
SWM,9
	 ,6
YN7,44
CRV,60
AB3,266
ABY,266
350,320
351,320
359,320
A58,72
AN7,52
AR7,76
146,76
141,76
142,92
143,106
BH2,15
703,185
B72,149
727,115
721,115
722,140
7M8,155
732,180
741,366
742,366
743,400
748,467
74L,276
74R,400
78J,330
789,290
CS1,108
CS3,130
CCX,15
ATP,64
J31,15
CL4,160
CR1,50
CN1,3
SSC,105
D20,10
DF7,20
DHC,32
DHT,19
DH7,50
D10,399
D3F,25
D6F,55
D91,90
D93,115
D94,125
D95,135
EP1,4
EP3,9
FRJ,32
D28,32
F50,62
F27,52
GJ4,16
GJ5,17
YN2,17
HS7,49
IL8,90
IL6,172
IL7,200
ILW,335
I93,300
LRJ,6
LOE,98
M81,155
M87,115
YS1,64
PN6,6
BNT,18
BNI,9
PL6,10
PA2,6
SH6,39
S61,30
S76,13
TU3,78
TU5,150
T20,180
YK4,32
